zcr_mean,emotion
0.3727122486888112,neutral
0.27019369526273884,neutral
0.2302065855704698,neutral
0.26139778190559443,neutral
0.24677922175480768,neutral
0.3891092936197917,neutral
0.2803398899778107,neutral
0.1731393574089404,neutral
0.14625581781914893,neutral
0.12130757250816994,neutral
0.19093592026654413,neutral
0.2618213823646497,neutral
0.3264356181569343,neutral
0.286474609375,neutral
0.2489164169520548,neutral
0.2617278484083851,neutral
0.15338796592620482,neutral
0.2618815104166667,neutral
0.2207064693921233,neutral
0.277763671875,neutral
0.33378729762801207,neutral
0.33965092555732485,neutral
0.3300215558307927,neutral
0.27293701171875,neutral
0.3805508083767361,neutral
0.30054023938301283,neutral
0.17296474027317882,neutral
0.2821396083047945,neutral
0.26147305433917195,neutral
0.3031600560897436,neutral
0.2267262528582317,neutral
0.16107994128184713,neutral
0.33951469089673914,neutral
0.17302216679216867,neutral
0.1955129139458955,neutral
0.33162275326797386,neutral
0.3273324275362319,neutral
0.3630845811631944,neutral
0.2004673080956376,neutral
0.2837581279114907,neutral
0.18073520281456953,neutral
0.24135135825163398,neutral
0.22315499441964284,neutral
0.303371677150974,neutral
0.2756035383357558,neutral
0.3351542837667785,neutral
0.29403629658385094,neutral
0.31438159335191085,neutral
0.39912317154255317,neutral
0.3289727521088957,neutral
0.26409548323675497,neutral
0.2491169381648936,neutral
0.2719835879197761,neutral
0.29908056972789115,neutral
0.2956420216480447,neutral
0.18173317504084968,neutral
0.2847357855902778,neutral
0.13922384510869565,neutral
0.20054913949275363,neutral
0.2588203625801282,neutral
0.32725490484022557,neutral
0.35863606770833334,neutral
0.1826270186661074,neutral
0.30403958834134615,neutral
0.17037781974337748,neutral
0.254267578125,neutral
0.2332797580295139,neutral
0.2726116820469799,neutral
0.3557285406650641,neutral
0.359706780849359,neutral
0.37778228183962265,neutral
0.2574579518312102,neutral
0.39692988708941607,neutral
0.3201591296073718,neutral
0.301650390625,neutral
0.255419921875,neutral
0.2632555839342949,neutral
0.3458178219379195,neutral
0.27139339091614906,neutral
0.1698604356374172,neutral
