rmse_mean,emotion
0.0021197072,male_neutral
0.0033448308,female_neutral
0.003757135,male_neutral
0.0023342986,female_neutral
0.0013985182,male_neutral
0.0015208906,female_neutral
0.002557476,male_neutral
0.0023973677,female_neutral
0.0012981453,male_neutral
0.009250941,female_neutral
0.001715554,male_neutral
0.00250462,female_neutral
0.0017711212,male_neutral
0.0010788525,female_neutral
0.0040446166,male_neutral
0.0027400116,female_neutral
0.0037357656,male_neutral
0.0017125234,female_neutral
0.0021314726,male_neutral
0.0014758859,female_neutral
0.005303217,male_neutral
0.0021420096,female_neutral
0.0044173836,male_neutral
0.0024016076,female_neutral
0.0022580326,male_neutral
0.0033259117,female_neutral
0.0035244385,male_neutral
0.0026024606,female_neutral
0.0011632121,male_neutral
0.0019414107,female_neutral
0.0027105731,male_neutral
0.0024597663,female_neutral
0.00089299283,male_neutral
0.007541161,female_neutral
0.0024167218,male_neutral
0.0024078863,female_neutral
0.001843511,male_neutral
0.000995105,female_neutral
0.0032937254,male_neutral
0.0029003655,female_neutral
0.0036191356,male_neutral
0.0019728655,female_neutral
0.0020879414,male_neutral
0.0020670204,female_neutral
0.005130753,male_neutral
0.0023582391,female_neutral
0.0051183878,male_neutral
0.0022204816,female_neutral
0.0027071815,male_neutral
0.0051298533,female_neutral
0.004081339,male_neutral
0.002500966,female_neutral
0.002031557,male_neutral
0.0020908746,female_neutral
0.0030482374,male_neutral
0.0028752466,female_neutral
0.00097233953,male_neutral
0.011326294,female_neutral
0.0021423553,male_neutral
0.0033768811,female_neutral
0.0019020388,male_neutral
0.001514765,female_neutral
0.004083052,male_neutral
0.0045655626,female_neutral
0.004541563,male_neutral
0.0017866482,female_neutral
0.0020711373,male_neutral
0.0018374678,female_neutral
0.006163119,male_neutral
0.0026339574,female_neutral
0.0056930655,male_neutral
0.0028156543,female_neutral
0.0025207684,male_neutral
0.004685411,female_neutral
0.004365069,male_neutral
0.002098943,female_neutral
0.0016613568,male_neutral
0.0020881924,female_neutral
0.0024470203,male_neutral
0.0027242315,female_neutral
0.0010594014,male_neutral
0.0077036154,female_neutral
0.0022323923,male_neutral
0.0030152914,female_neutral
0.002328554,male_neutral
0.0015811021,female_neutral
0.0040986026,male_neutral
0.0042802943,female_neutral
0.004415345,male_neutral
0.001880084,female_neutral
0.002394602,male_neutral
0.0020427064,female_neutral
0.004926683,male_neutral
0.0024416414,female_neutral
0.00567399,male_neutral
0.003312852,female_neutral
0.0015786955,male_neutral
0.0031098386,female_neutral
0.0026532232,male_neutral
0.002631656,female_neutral
0.0010454286,male_neutral
0.0008249549,female_neutral
0.0016798396,male_neutral
0.0016630144,female_neutral
0.00089978817,male_neutral
0.0077925026,female_neutral
0.00107532,male_neutral
0.0028624404,female_neutral
0.0015346013,male_neutral
0.0015110791,female_neutral
0.0023771364,male_neutral
0.002175475,female_neutral
0.0033844416,male_neutral
0.002518534,female_neutral
0.0011304887,male_neutral
0.00078227976,female_neutral
0.003458101,male_neutral
0.0015098478,female_neutral
0.0024675245,male_neutral
0.0013203676,female_neutral
0.0016762057,male_neutral
0.0031890122,female_neutral
0.0028161404,male_neutral
0.0028494976,female_neutral
0.00066299166,male_neutral
0.00095005176,female_neutral
0.0014864164,male_neutral
0.0015375095,female_neutral
0.0010548552,male_neutral
0.007174197,female_neutral
0.0013217741,male_neutral
0.0023134209,female_neutral
0.0016846342,male_neutral
0.0009108401,female_neutral
0.0027398032,male_neutral
0.003093072,female_neutral
0.004174354,male_neutral
0.0022798893,female_neutral
0.0012801136,male_neutral
0.00070432504,female_neutral
0.0041789645,male_neutral
0.0015824474,female_neutral
0.002324986,male_neutral
0.0013808444,female_neutral
0.0025555012,male_neutral
0.0036047194,female_neutral
0.002883733,male_neutral
0.003873695,female_neutral
0.0010040936,male_neutral
0.0013701906,female_neutral
0.0018144542,male_neutral
0.0019463137,female_neutral
0.0017052827,male_neutral
0.010187009,female_neutral
0.0019036648,male_neutral
0.003230967,female_neutral
0.0015654693,male_neutral
0.0017293006,female_neutral
0.0034287078,male_neutral
0.0030938126,female_neutral
